id,title,year,keyword
3284317,12 Years a Slave,2013,"1840s,19th-century,abolitionist,bar-of-soap,bare-chested-male,based-on-novel,based-on-true-story,bible-quote,black-history,blood,bound-and-whipped,burning-a-letter,canadian-expatriate,casual-sex,chains,confirming-identity,cotton,cotton-field,cotton-picking,cotton-plantation,crying-man,crying-woman,cutting-wood,ends-with-biographical-notes,escape-from-slavery,family-reunion,fiddle,fight-for-freedom,film-starts-with-sex,flogging-scar,forced-to-strip,freed-slave,freedom,freedom-fight,freedom-flight,freedom-seeker,freedom-seekers,friendship,funeral,granting-freedom,grief,hairy-chest,hanging,human-dignity,human-rights,human-trafficking,humiliation,in-medias-res,infidelity,interracial-marriage,interracial-rape,interracial-romance,jealous-wife,jealousy,kidnapped-man,kidnapping,loss-of-freedom,loss-of-identity,lost-freedom,louisiana,male-frontal-nudity,male-full-frontal-nudity,male-nudity,male-objectification,male-pubic-hair,male-rear-nudity,man-crying,master-slave-relationship,melancholy,mother-child-separation,motivational,new-york,number-in-title,physical-abuse,plantation,racism,rape,rochester-new-york,saratoga-new-york,separation-from-family,sex-scene,sexual-abuse,slave,slave-labor,slave-owner,slave-ship,slave-trade,slavery,social-injustice,sold-into-slavery,sweat,time-in-title,torture,u.s.-history,undressing,unfaithful-husband,unmailed-letter,washington-d.c.,what-happened-to-epilogue,whip,whipping,whipping-scars,woman,woman-crying,writing-a-letter,year-in-title"
3284341,12/12/12,2012,"antichrist,blood-splatter,cult,death-of-protagonist,december,demon,end-of-the-world,female-nudity,gore,infant,murder,no-survivors,prophecy,ritual,satanist"
3284421,127 Hours,2010,"adventurer,alone,amputation,anger,answering-machine,arm-amputation,arm-breaking,aron-ralston,bare-chested-male,based-on-autobiography,based-on-true-story,bicycle,bike-riding,blood,bone-breaking,boulder,broken-bone,brother-sister-relationship,burger-king,camel-bladder,camera,camera-shot-from-inside-refrigerator,canon-camera,canyon,canyonlands-national-park-utah,cave-painting,character's-point-of-view-camera-shot,climbing,cockiness,contemplating-death,coors-light,couch,defying-death,desert,despair,determination,dread,drinking-own-urine,escape,falling-from-height,family-relationships,fantasy-sequence,fast-motion-scene,fate,father-son-relationship,flash-flood,flashback,flashlight,flooding,freeze-frame,gatorade,girl,grotto,hairy-chest,hallucination,hiker,hiking,hoist,hour-in-title,kentucky-fried-chicken,knife,lens-flare,lightning,loneliness,looking-at-the-camera,male-in-shower,man-in-towel,masturbation,mcdonald's-restaurant,memory,meteorite,monologue,montage,mother-son-relationship,mountain-climber,mountain-dew,naked-in-the-snow,number-in-title,out-of-water,pepsi,pepsi-cola,piano,pulley,rain,reference-to-butch-cassidy,reference-to-scooby-doo,reference-to-the-hole-in-the-wall-gang,reference-to-the-sundance-kid,reverse-footage,rock,rope,scene-during-opening-credits,self-amputation,self-deprecation,self-surgery,sex,slow-motion-scene,snowing,soft-focus,spelunking,split-screen,stuck,subjective-camera,survival,survivor,swimming,swiss-army-knife,taco-bell,taking-a-photograph,talking-to-oneself,talking-to-the-camera,telephone-call,testimony,tgi-fridays,thirst,time-for-title,time-lapse-photography,trapped,two-word-title,urinating-on-the-ground,urinating-unto-a-plastic-bag,urination,utah,very-little-dialogue,victorinox,video-camera,videotaping-oneself,water,water-canteen,water-shortage,what-happened-to-epilogue,yelling-for-help"
3284477,12th & Delaware,2010,"abortion,abortion-clinic,anti-abortion,belief-in-god,car,catholic,catholic-church,catholic-priest,church,clinic,crossing-self,disinformation,driving,florida,following-someone,ford-mustang,garage,hail-mary,harassment,lord's-prayer,manipulation,march-on-washington,medical-clinic,picture-of-jesus,prayer,pregnancy,priest,pro-life-protestor,protest,protest-sign,protestor,reference-to-george-tiller,religion,religious-fanatic,rosary,sign,sign-of-the-cross,stalking,surveillance,teenage-pregnancy,threat,ultrasound,unplanned-pregnancy,unwanted-pregnancy"
3284505,13,2010,"bag-of-money,bare-chested-male,blood,blood-splatter,briefcase,brother-brother-relationship,bullet,cell-phone,chance,character-repeating-someone-else's-dialogue,character-says-i-love-you,cigarette-smoking,corpse,cowboy-hat,death-of-brother,death-of-husband,death-of-protagonist,delaware,desperation,double-cross,drug-overdose,duel,electrician,ensemble-cast,escaped-convict,finger-gun,flashback,flask,forced-to-strip,gambling,game-of-death,grand-central-station-manhattan-new-york-city,greed,hospital,lamb,lightbulb,mansion,mental-hospital,mental-patient,mexico,midwest,money-problems,mother-son-relationship,murder,new-york,no-opening-credits,nonlinear-timeline,number-in-title,ohio,one-word-title,package,pennsylvania,pistol,police-detective,police-interrogation,police-surveillance,post-office,prison-escape,punched-in-the-face,remake,remake-by-original-director,remake-of-french-film,revenge,revolver,russian-roulette,shot-in-the-chest,shot-in-the-forehead,shot-in-the-head,shot-to-death,sponsor,strangulation,stuffed-animal,subtitled-scene,surprise-ending,taxi,taxi-driver,title-appears-in-writing,title-spoken-by-character,train,train-station,trash-bag,treasure-map"
3284544,13 Days of the Beast,2009,"cult,number-13-in-title,number-in-title,slasher"
3284655,13 States,2010,"independent-film,road-trip"
3284693,13/13/13,2013,"apocalypse,blood-splatter,crazy,death-of-protagonist,demon,insanity,number-13"
3284727,1320: A West Coast Story,2009,"fast-and-furious,illegal-street-racing,street-racing"
3284776,13th Annual Young Hollywood Awards,2011,"awards-show,tv-special"
