id,title,year,gross
3662360,Europa Report,2013,125687
3663327,Even Eye,2012,10000
3663682,Evergreen: The Road to Legalization in Washington,2013,2363
3664311,Everybody's Fine,2009,8855646
3664762,Everything Must Go,2010,2711210
3665029,Evidence of a Haunting,2010,54474
3665133,Evil Bong 3: The Wrath of Bong,2011,91260
3665166,Evil Dead,2013,54239856
3665248,Evil Intent,2010,10000
3667947,Exporting Raymond,2010,83894
3668544,Extract,2009,10814185
3668644,Extraordinary Measures,2010,11854694
3669063,Extremely Loud & Incredibly Close,2011,31847881
3671667,Fading Gigolo,2013,3763973
3672036,Fair Game,2010,9528092
3673387,Falling Awake,2009,1598
3673516,Falling Overnight,2011,31000
3673999,Fame,2009,22455510
3675193,Fanboys,2009,688529
3675257,Fancypants,2011,4962
3675830,Fantastic Mr. Fox,2009,21002919
3676318,Far Out Isn't Far Enough: The Tomi Ungerer Story,2012,33428
3676571,Farewell Calm Days,2010,415
3676641,Farewell to Hollywood,2013,8458
3676856,Farmageddon,2011,55839
3677419,Fast & Furious,2009,155064265
3677523,Fast Five,2011,209837675
3677732,Faster,2010,23240020
3680450,Feed the Fish,2009,101160
3682501,Ferlinghetti: A City Light,2009,4816
3684435,Fifi az khoshhali zooze mikeshad,2013,13008
3685002,Fighting,2009,23036320
3685704,Filly Brown,2012,2833383
3686363,Filth,2013,34321
3686378,"Filth to Ashes, Flesh to Dust",2011,202531
3686789,Final Destination 5,2011,42587643
3687104,Final: The Rapture,2013,92100
3687478,Finding Bliss,2009,8983
3687705,Finding Joe,2011,55518
3687992,Finding Vivian Maier,2013,1514782
3689166,Fired Up!,2009,17231291
3690292,First Position,2011,1100000
3693610,Flex is Kings,2013,5418
3693862,Flight,2012,93772375
3694225,Flipped,2010,1752214
3696270,Flypaper,2011,1098
3696995,Follow Me: The Yoni Netanyahu Story,2012,109762
3698121,Footloose,2011,51802742
3698282,"For a Good Time, Call...",2012,1243961
3698479,For Colored Girls,2010,37721949
3698523,For Ellen,2012,7282
3698967,For No Good Reason,2012,67105
3700381,Foreign Letters,2012,80000
3701721,Formosa Betrayed,2009,225341
3701931,Fort McCoy,2011,73678
3704629,Frances Ha,2012,4063238
3705286,Frankenweenie,2012,35291068
3706180,Freakonomics,2010,100675
3706694,Free Birds,2013,55750480
3706937,Free the Mind,2012,157007
3708863,Friday the 13th,2009,65002019
3709394,Friends with Benefits,2011,55802754
3709400,Friends with Kids,2011,7250054
3709549,Fright Night,2011,18298649
3710536,From Mexico with Love,2009,548775
3710667,From Prada to Nada,2011,3016244
3711644,Frozen,2010,246177
3711650,Frozen,2013,400738009
3711903,Fruitvale Station,2013,16097842
3714360,Fun Size,2012,9402410
3714911,Funny People,2009,51855045
3715209,Furious 6,2013,238679850
